Parametre;Coefficient de corellation;Count;Top;List
Nitrites;0.172;15;0.784;0.784,0.728,0.689,-0.523,0.474,0.428,-0.381,0.365,0.258,-0.185,-0.151,0.132,-0.128,0.054,0.038
Taux de saturation en oxygène;0.157;15;0.508;0.508,0.477,0.394,-0.370,0.336,0.319,0.232,0.231,0.217,0.178,-0.102,-0.080,0.080,-0.063,-0.002
Potentiel en Hydrogène (pH);0.153;15;0.773;0.773,0.599,-0.515,0.462,0.414,0.384,0.354,-0.313,0.225,-0.178,0.118,0.080,-0.039,-0.037,-0.028
Oxygène dissous;0.149;15;0.524;0.524,0.430,0.390,0.374,0.373,0.302,0.247,-0.231,-0.227,-0.161,0.139,0.130,-0.054,0.011,-0.009
Ammonium;0.140;15;0.947;0.947,0.920,0.805,0.728,-0.661,-0.488,0.353,-0.326,-0.255,-0.218,0.212,0.208,0.173,-0.148,-0.146
Azote Kjeldahl;0.123;13;0.970;0.970,0.857,0.655,-0.561,0.550,-0.395,-0.365,-0.354,0.253,-0.196,0.161,0.154,-0.125
Carbone Organique;0.103;15;0.758;0.758,0.698,0.622,0.520,-0.468,-0.353,-0.343,0.334,-0.316,-0.233,0.196,0.183,-0.092,0.039,-0.005
Demande Biochimique en oxygène en 5 jours (D.B.O.5);0.102;15;0.937;0.937,0.413,-0.341,0.314,0.255,-0.190,0.188,-0.172,-0.154,0.154,-0.149,0.139,0.090,0.033,0.009
Nitrates;0.077;15;0.648;0.648,0.626,-0.432,0.409,-0.393,0.279,0.271,-0.209,-0.180,-0.129,0.096,0.054,0.051,0.042,0.022
Demande Chimique en Oxygène (DCO);0.071;13;0.625;0.625,0.588,-0.414,0.365,0.346,-0.295,0.288,-0.260,-0.190,-0.186,0.083,-0.065,0.032
Conductivité à 25°C;-0.034;15;0.597;0.597,0.498,-0.483,-0.479,-0.461,0.423,-0.384,-0.370,0.355,-0.193,0.192,-0.120,-0.035,-0.031,-0.012
Phosphore total;-0.034;15;-0.640;-0.640,0.619,0.548,-0.335,-0.318,-0.310,-0.234,0.129,0.094,-0.068,0.066,-0.055,-0.046,0.043,-0.009
Matières en suspension;0.030;15;0.590;0.590,0.469,0.391,-0.375,0.348,-0.313,-0.306,0.299,-0.252,-0.218,-0.141,-0.130,0.096,-0.044,0.042
Orthophosphates (PO4);-0.016;15;-0.720;-0.720,0.594,0.406,-0.317,-0.309,0.308,-0.212,0.198,-0.190,0.181,-0.151,-0.126,0.055,0.024,0.019
Turbidité Formazine Néphélométrique;0.002;15;0.639;0.639,-0.530,0.419,-0.373,0.366,-0.352,-0.288,0.274,-0.255,-0.209,-0.198,0.157,0.145,0.138,0.099
Température de l'Eau;0.002;15;-0.563;-0.563,-0.563,0.549,0.360,0.259,-0.212,0.203,-0.202,0.180,0.115,0.096,-0.091,-0.086,-0.063,0.043